Axis_0,Axis_1,P_PHYLO_RPE2_CANAPE_SIG
-1050000,-1050000,Not Sig
-1050000,-1150000,Not Sig
-1050000,-1250000,Mixed
-1050000,-1350000,Mixed
-1050000,-1450000,Mixed
-1050000,-150000,Mixed
-1050000,-1550000,Mixed
-1050000,-1650000,Mixed
-1050000,-1750000,Not Sig
-1050000,-1850000,Not Sig
-1050000,-250000,Mixed
-1050000,-350000,Mixed
-1050000,-450000,Mixed
-1050000,-50000,Not Sig
-1050000,-550000,Mixed
-1050000,-650000,Mixed
-1050000,-750000,Mixed
-1050000,-850000,Mixed
-1050000,-950000,Not Sig
-1050000,1050000,Not Sig
-1050000,1150000,Not Sig
-1050000,1250000,Not Sig
-1050000,1350000,Not Sig
-1050000,1450000,Not Sig
-1050000,150000,Not Sig
-1050000,1550000,Not Sig
-1050000,1650000,Not Sig
-1050000,1750000,Not Sig
-1050000,1850000,Not Sig
-1050000,1950000,Not Sig
-1050000,2050000,Not Sig
-1050000,2150000,Not Sig
-1050000,2250000,Not Sig
-1050000,2350000,Not Sig
-1050000,2450000,Not Sig
-1050000,250000,Not Sig
-1050000,2550000,Not Sig
-1050000,2650000,Not Sig
-1050000,2750000,Not Sig
-1050000,2850000,Not Sig
-1050000,2950000,Not Sig
-1050000,3050000,Not Sig
-1050000,3150000,Not Sig
-1050000,3250000,Not Sig
-1050000,3350000,Not Sig
-1050000,350000,Not Sig
-1050000,3750000,Not Sig
-1050000,3850000,Not Sig
-1050000,450000,Not Sig
-1050000,50000,Not Sig
-1050000,550000,Not Sig
-1050000,650000,Not Sig
-1050000,750000,Not Sig
-1050000,850000,Not Sig
-1050000,950000,Not Sig
-1150000,-1050000,Mixed
-1150000,-1150000,Mixed
-1150000,-1250000,Mixed
-1150000,-1350000,Mixed
-1150000,-1450000,Mixed
-1150000,-150000,Mixed
-1150000,-1550000,Not Sig
-1150000,-1650000,Not Sig
-1150000,-1750000,Not Sig
-1150000,-250000,Mixed
-1150000,-350000,Mixed
-1150000,-450000,Mixed
-1150000,-50000,Mixed
-1150000,-550000,Mixed
-1150000,-650000,Mixed
-1150000,-750000,Mixed
-1150000,-850000,Mixed
-1150000,-950000,Mixed
-1150000,1050000,Not Sig
-1150000,1150000,Not Sig
-1150000,1250000,Not Sig
-1150000,1350000,Not Sig
-1150000,1450000,Not Sig
-1150000,150000,Mixed
-1150000,1550000,Not Sig
-1150000,1650000,Not Sig
-1150000,1750000,Not Sig
-1150000,1850000,Not Sig
-1150000,1950000,Not Sig
-1150000,2050000,Not Sig
-1150000,2150000,Not Sig
-1150000,2250000,Not Sig
-1150000,2350000,Not Sig
-1150000,2450000,Not Sig
-1150000,250000,Not Sig
-1150000,2550000,Not Sig
-1150000,2650000,Not Sig
-1150000,2750000,Not Sig
-1150000,2850000,Not Sig
-1150000,2950000,Not Sig
-1150000,3050000,Not Sig
-1150000,3150000,Not Sig
-1150000,3250000,Not Sig
-1150000,3350000,Not Sig
-1150000,3450000,Not Sig
-1150000,350000,Not Sig
-1150000,3750000,Not Sig
-1150000,3850000,Not Sig
-1150000,3950000,Not Sig
-1150000,450000,Neo
-1150000,50000,Not Sig
-1150000,550000,Mixed
-1150000,650000,Not Sig
-1150000,750000,Not Sig
-1150000,850000,Not Sig
-1150000,950000,Not Sig
-1250000,-1050000,Mixed
-1250000,-1150000,Mixed
-1250000,-1250000,Mixed
-1250000,-1350000,Mixed
-1250000,-1450000,Not Sig
-1250000,-150000,Mixed
-1250000,-1550000,Not Sig
-1250000,-250000,Mixed
-1250000,-350000,Mixed
-1250000,-450000,Mixed
-1250000,-50000,Mixed
-1250000,-550000,Mixed
-1250000,-650000,Mixed
-1250000,-750000,Mixed
-1250000,-850000,Mixed
-1250000,-950000,Mixed
-1250000,1050000,Not Sig
-1250000,1150000,Not Sig
-1250000,1250000,Not Sig
-1250000,1350000,Not Sig
-1250000,1450000,Not Sig
-1250000,150000,Neo
-1250000,1550000,Not Sig
-1250000,1650000,Not Sig
-1250000,1750000,Not Sig
-1250000,1850000,Not Sig
-1250000,1950000,Not Sig
-1250000,2050000,Not Sig
-1250000,2150000,Not Sig
-1250000,2250000,Not Sig
-1250000,2350000,Not Sig
-1250000,2450000,Not Sig
-1250000,250000,Neo
-1250000,2550000,Not Sig
-1250000,2650000,Not Sig
-1250000,2750000,Not Sig
-1250000,2850000,Not Sig
-1250000,2950000,Not Sig
-1250000,3050000,Not Sig
-1250000,3150000,Not Sig
-1250000,3250000,Not Sig
-1250000,3350000,Not Sig
-1250000,3450000,Not Sig
-1250000,350000,Neo
-1250000,450000,Neo
-1250000,50000,Mixed
-1250000,550000,Mixed
-1250000,650000,Not Sig
-1250000,750000,Not Sig
-1250000,850000,Not Sig
-1250000,950000,Not Sig
-1350000,-1050000,Mixed
-1350000,-1150000,Mixed
-1350000,-1250000,Mixed
-1350000,-1350000,Not Sig
-1350000,-150000,Mixed
-1350000,-250000,Mixed
-1350000,-350000,Mixed
-1350000,-450000,Mixed
-1350000,-50000,Mixed
-1350000,-550000,Mixed
-1350000,-650000,Mixed
-1350000,-750000,Mixed
-1350000,-850000,Mixed
-1350000,-950000,Mixed
-1350000,1050000,Not Sig
-1350000,1150000,Not Sig
-1350000,1250000,Not Sig
-1350000,1350000,Not Sig
-1350000,1450000,Not Sig
-1350000,150000,Neo
-1350000,1550000,Neo
-1350000,1650000,Not Sig
-1350000,1750000,Not Sig
-1350000,1850000,Not Sig
-1350000,1950000,Not Sig
-1350000,2050000,Not Sig
-1350000,2150000,Not Sig
-1350000,2250000,Not Sig
-1350000,2350000,Not Sig
-1350000,2450000,Not Sig
-1350000,250000,Not Sig
-1350000,2550000,Not Sig
-1350000,2650000,Not Sig
-1350000,2750000,Not Sig
-1350000,2850000,Not Sig
-1350000,2950000,Not Sig
-1350000,3050000,Not Sig
-1350000,3150000,Not Sig
-1350000,3250000,Not Sig
-1350000,3350000,Not Sig
-1350000,3450000,Not Sig
-1350000,350000,Not Sig
-1350000,450000,Not Sig
-1350000,50000,Mixed
-1350000,550000,Not Sig
-1350000,650000,Not Sig
-1350000,750000,Not Sig
-1350000,850000,Not Sig
-1350000,950000,Not Sig
-1450000,-1050000,Mixed
-1450000,-1150000,Mixed
-1450000,-1250000,Not Sig
-1450000,-150000,Mixed
-1450000,-1750000,Not Sig
-1450000,-250000,Mixed
-1450000,-350000,Mixed
-1450000,-450000,Mixed
-1450000,-50000,Neo
-1450000,-550000,Mixed
-1450000,-650000,Mixed
-1450000,-750000,Mixed
-1450000,-850000,Mixed
-1450000,-950000,Mixed
-1450000,1050000,Not Sig
-1450000,1150000,Not Sig
-1450000,1250000,Not Sig
-1450000,1350000,Not Sig
-1450000,1450000,Not Sig
-1450000,150000,Not Sig
-1450000,1550000,Not Sig
-1450000,1650000,Not Sig
-1450000,1750000,Not Sig
-1450000,1850000,Not Sig
-1450000,1950000,Not Sig
-1450000,2050000,Not Sig
-1450000,2150000,Not Sig
-1450000,2250000,Not Sig
-1450000,2350000,Not Sig
-1450000,2450000,Not Sig
-1450000,250000,Neo
